trial,distance_m,contrast_percent,bit_rate_bps,interference,signal_amplitude,noise_sigma,signal_to_noise_ratio,total_bits,bit_errors,bit_error_rate,packet_recovered,visibility_band
2,0.5,1.0,5.0,high,4.0,0.2,20.0,48,0,0.0,True,very-low-contrast
3,0.5,1.0,5.0,high,4.0,0.2,20.0,48,0,0.0,True,very-low-contrast
4,0.5,1.0,5.0,high,4.0,0.2,20.0,48,0,0.0,True,very-low-contrast
5,0.5,1.0,5.0,high,4.0,0.2,20.0,48,0,0.0,True,very-low-contrast
6,0.5,1.0,5.0,high,4.0,0.2,20.0,48,0,0.0,True,very-low-contrast
7,0.5,1.0,5.0,high,4.0,0.2,20.0,48,0,0.0,True,very-low-contrast
8,0.5,1.0,5.0,high,4.0,0.2,20.0,48,0,0.0,True,very-low-contrast
9,0.5,1.0,5.0,high,4.0,0.2,20.0,48,0,0.0,True,very-low-contrast
10,0.5,1.0,5.0,high,4.0,0.2,20.0,48,0,0.0,True,very-low-contrast
1,0.5,1.0,10.0,quiet,4.0,0.05656854249492381,70.71067811865474,48,0,0.0,True,very-low-contrast
2,0.5,1.0,10.0,quiet,4.0,0.05656854249492381,70.71067811865474,48,0,0.0,True,very-low-contrast
3,0.5,1.0,10.0,quiet,4.0,0.05656854249492381,70.71067811865474,48,0,0.0,True,very-low-contrast
4,0.5,1.0,10.0,quiet,4.0,0.05656854249492381,70.71067811865474,48,0,0.0,True,very-low-contrast
5,0.5,1.0,10.0,quiet,4.0,0.05656854249492381,70.71067811865474,48,0,0.0,True,very-low-contrast
6,0.5,1.0,10.0,quiet,4.0,0.05656854249492381,70.71067811865474,48,0,0.0,True,very-low-contrast
7,0.5,1.0,10.0,quiet,4.0,0.05656854249492381,70.71067811865474,48,0,0.0,True,very-low-contrast
8,0.5,1.0,10.0,quiet,4.0,0.05656854249492381,70.71067811865474,48,0,0.0,True,very-low-contrast
9,0.5,1.0,10.0,quiet,4.0,0.05656854249492381,70.71067811865474,48,0,0.0,True,very-low-contrast
10,0.5,1.0,10.0,quiet,4.0,0.05656854249492381,70.71067811865474,48,0,0.0,True,very-low-contrast
1,0.5,1.0,10.0,moderate,4.0,0.14142135623730953,28.284271247461895,48,0,0.0,True,very-low-contrast
2,0.5,1.0,10.0,moderate,4.0,0.14142135623730953,28.284271247461895,48,0,0.0,True,very-low-contrast
3,0.5,1.0,10.0,moderate,4.0,0.14142135623730953,28.284271247461895,48,0,0.0,True,very-low-contrast
4,0.5,1.0,10.0,moderate,4.0,0.14142135623730953,28.284271247461895,48,0,0.0,True,very-low-contrast
5,0.5,1.0,10.0,moderate,4.0,0.14142135623730953,28.284271247461895,48,0,0.0,True,very-low-contrast
6,0.5,1.0,10.0,moderate,4.0,0.14142135623730953,28.284271247461895,48,0,0.0,True,very-low-contrast
7,0.5,1.0,10.0,moderate,4.0,0.14142135623730953,28.284271247461895,48,0,0.0,True,very-low-contrast
8,0.5,1.0,10.0,moderate,4.0,0.14142135623730953,28.284271247461895,48,0,0.0,True,very-low-contrast
9,0.5,1.0,10.0,moderate,4.0,0.14142135623730953,28.284271247461895,48,0,0.0,True,very-low-contrast
10,0.5,1.0,10.0,moderate,4.0,0.14142135623730953,28.284271247461895,48,0,0.0,True,very-low-contrast
1,0.5,1.0,10.0,high,4.0,0.28284271247461906,14.142135623730947,48,0,0.0,True,very-low-contrast
2,0.5,1.0,10.0,high,4.0,0.28284271247461906,14.142135623730947,48,0,0.0,True,very-low-contrast
